year,county,neonic,count
2019,Calaveras,Does Not Contain a Neonic,5
2019,Calaveras,Percent Contining Neonics,0
2019,Colusa,Contains a Neonic,0
2019,Colusa,Does Not Contain a Neonic,20
2019,Colusa,Percent Contining Neonics,0
2019,Contra Costa,Contains a Neonic,2
2019,Contra Costa,Does Not Contain a Neonic,5
2019,Contra Costa,Percent Contining Neonics,28.57142857142857
2019,El Dorado,Contains a Neonic,0
2019,El Dorado,Does Not Contain a Neonic,20
2019,El Dorado,Percent Contining Neonics,0
2019,Fresno,Contains a Neonic,0
2019,Fresno,Does Not Contain a Neonic,9
2019,Fresno,Percent Contining Neonics,0
2019,Imperial,Contains a Neonic,12
2019,Imperial,Does Not Contain a Neonic,12
2019,Imperial,Percent Contining Neonics,50
2019,Los Angeles,Contains a Neonic,29
2019,Los Angeles,Does Not Contain a Neonic,28
2019,Los Angeles,Percent Contining Neonics,50.877192982456144
2019,Madera,Contains a Neonic,0
2019,Madera,Does Not Contain a Neonic,8
2019,Madera,Percent Contining Neonics,0
2019,Merced,Contains a Neonic,6
2019,Merced,Does Not Contain a Neonic,31
2019,Merced,Percent Contining Neonics,16.216216216216218
2019,Monterey,Contains a Neonic,62
2019,Monterey,Does Not Contain a Neonic,7
2019,Monterey,Percent Contining Neonics,89.85507246376811
2019,Orange,Contains a Neonic,34
2019,Orange,Does Not Contain a Neonic,31
2019,Orange,Percent Contining Neonics,52.307692307692314
2019,Placer,Contains a Neonic,14
2019,Placer,Does Not Contain a Neonic,20
2019,Placer,Percent Contining Neonics,41.17647058823529
2019,Riverside,Contains a Neonic,16
2019,Riverside,Does Not Contain a Neonic,0
2019,Riverside,Percent Contining Neonics,100
2019,Sacramento,Contains a Neonic,9
2019,Sacramento,Does Not Contain a Neonic,195
2019,Sacramento,Percent Contining Neonics,4.411764705882353
2019,San Diego,Contains a Neonic,3
2019,San Diego,Does Not Contain a Neonic,9
2019,San Diego,Percent Contining Neonics,25
2019,San Joaquin,Contains a Neonic,7
2019,San Joaquin,Does Not Contain a Neonic,36
2019,San Joaquin,Percent Contining Neonics,16.27906976744186
2019,San Luis Obispo,Contains a Neonic,13
2019,San Luis Obispo,Does Not Contain a Neonic,2
2019,San Luis Obispo,Percent Contining Neonics,86.66666666666667
2019,Santa Barbara,Contains a Neonic,27
2019,Santa Barbara,Does Not Contain a Neonic,18
2019,Santa Barbara,Percent Contining Neonics,60
2019,Santa Clara,Contains a Neonic,2
2019,Santa Clara,Does Not Contain a Neonic,10
2019,Santa Clara,Percent Contining Neonics,16.666666666666664
2019,Solano,Contains a Neonic,13
2019,Solano,Does Not Contain a Neonic,122
2019,Solano,Percent Contining Neonics,9.62962962962963
2019,Stanislaus,Contains a Neonic,2
2019,Stanislaus,Does Not Contain a Neonic,6
2019,Stanislaus,Percent Contining Neonics,25
2019,Tulare,Contains a Neonic,0
2019,Tulare,Does Not Contain a Neonic,54
2019,Tulare,Percent Contining Neonics,0
2019,Yolo,Contains a Neonic,4
2019,Yolo,Does Not Contain a Neonic,196
2019,Yolo,Percent Contining Neonics,2
2020,Alameda,Contains a Neonic,3
2020,Alameda,Does Not Contain a Neonic,9
2020,Alameda,Percent Contining Neonics,25
2020,Butte,Contains a Neonic,0
2020,Butte,Does Not Contain a Neonic,15
2020,Butte,Percent Contining Neonics,0
2020,Colusa,Contains a Neonic,1
2020,Colusa,Does Not Contain a Neonic,29
2020,Colusa,Percent Contining Neonics,3.3333333333333335
2020,Contra Costa,Contains a Neonic,3
2020,Contra Costa,Does Not Contain a Neonic,12
2020,Contra Costa,Percent Contining Neonics,20
2020,Imperial,Contains a Neonic,10
2020,Imperial,Does Not Contain a Neonic,41
2020,Imperial,Percent Contining Neonics,19.607843137254903
2020,Los Angeles,Contains a Neonic,10
2020,Los Angeles,Does Not Contain a Neonic,42
2020,Los Angeles,Percent Contining Neonics,19.230769230769234
2020,Merced,Contains a Neonic,6
2020,Merced,Does Not Contain a Neonic,50
2020,Merced,Percent Contining Neonics,10.714285714285714
2020,Monterey,Contains a Neonic,49
2020,Monterey,Does Not Contain a Neonic,11
2020,Monterey,Percent Contining Neonics,81.66666666666667
2020,Orange,Contains a Neonic,19
2020,Orange,Does Not Contain a Neonic,26
2020,Orange,Percent Contining Neonics,42.22222222222222
2020,Placer,Contains a Neonic,7
2020,Placer,Does Not Contain a Neonic,17
2020,Placer,Percent Contining Neonics,29.166666666666668
2020,Riverside,Contains a Neonic,15
2020,Riverside,Does Not Contain a Neonic,3
2020,Riverside,Percent Contining Neonics,83.33333333333334
2020,Sacramento,Contains a Neonic,3
2020,Sacramento,Does Not Contain a Neonic,41
2020,Sacramento,Percent Contining Neonics,6.8181818181818175
2020,San Joaquin,Contains a Neonic,1
2020,San Joaquin,Does Not Contain a Neonic,9
2020,San Joaquin,Percent Contining Neonics,10
2020,San Luis Obispo,Contains a Neonic,8
2020,San Luis Obispo,Does Not Contain a Neonic,1
2020,San Luis Obispo,Percent Contining Neonics,88.88888888888889
2020,Santa Barbara,Contains a Neonic,31
2020,Santa Barbara,Does Not Contain a Neonic,80
2020,Santa Barbara,Percent Contining Neonics,27.927927927927925
2020,Santa Clara,Contains a Neonic,2
2020,Santa Clara,Does Not Contain a Neonic,10
2020,Santa Clara,Percent Contining Neonics,16.666666666666664
2020,Solano,Contains a Neonic,0
2020,Solano,Does Not Contain a Neonic,4
2020,Solano,Percent Contining Neonics,0
2020,Stanislaus,Contains a Neonic,4
2020,Stanislaus,Does Not Contain a Neonic,11
2020,Stanislaus,Percent Contining Neonics,26.666666666666668
2020,Sutter,Contains a Neonic,0
2020,Sutter,Does Not Contain a Neonic,15
2020,Sutter,Percent Contining Neonics,0
2020,Ventura,Contains a Neonic,1
2020,Ventura,Does Not Contain a Neonic,19
2020,Ventura,Percent Contining Neonics,5
2020,Yolo,Contains a Neonic,0
2020,Yolo,Does Not Contain a Neonic,40
2020,Yolo,Percent Contining Neonics,0
